date,season,location,roost,roost type,box exp,other animals in roost,time,bat.id,bag nr,genus,species,transmitter,tx mass,tx attachment,tx time on,recap,mass w bag,mass of bag,mass of bat,sex,age,FA.right,FA.left,repro state,nipple ,testes,testes size,bucchal gland,streblids,streblid counts,mites,mite counts,other parasites,parasites coll?,wingpunch (Dna/MHC),wingpunch samples,isotopes,fur samples (isotopes),feces,foto,blood smear,blood sample,vaginal smear,teeth,Team,comment,,,
2012-05-10,spring,Reichenau-Waldsiedlung,school-front-right,roof,NA,40,21:15,00070890CD,K13,Nyctalus,noctula,no,NA,NA,NA,no,NA,NA,27.3,f,a,53.4,NA,NA,l,NA,NA,NA,no,NA,yes,many,no,no,no,0,fur,NA,NA,yes,no,no,no,,,5th finger: ,53.8,,
2012-05-10,spring,Reichenau-Waldsiedlung,school-front-right,roof,NA,40,21:15,00070890D1,F5,Nyctalus,noctula,no,NA,NA,NA,no,NA,NA,26.2,m,a,55.3,NA,NA,NA,s,NA,NA,no,NA,yes,medium,1,bug,no,0,fur,NA,NA,yes,no,no,no,,,5th finger: ,55.8,,
2012-05-10,spring,Reichenau-Waldsiedlung,school-front-right,roof,NA,40,21:15,000708989C,G3,Nyctalus,noctula,no,NA,NA,NA,no,NA,NA,25.8,f,a,55,NA,NA,s,NA,NA,NA,no,NA,yes,many,no,no,no,0,fur,NA,NA,yes,no,no,no,,,5th finger: 58.4,,,
2012-05-10,spring,Reichenau-Waldsiedlung,school-front-right,roof,NA,40,21:15,0007089CEB,24,Nyctalus,noctula,no,NA,NA,NA,no,NA,NA,25.5,f,a,56.9,NA,NA,l,NA,NA,NA,no,NA,yes,medium,1,bug,no,0,fur,NA,NA,yes,no,no,no,,,5th finger: ,56.5,,
2012-05-10,spring,Reichenau-Waldsiedlung,school-front-right,roof,NA,40,21:15,000708A02E,W21,Nyctalus,noctula,no,NA,NA,NA,no,NA,NA,25.9,f,a,55.6,NA,NA,s,NA,NA,NA,no,NA,yes,many,bug,bug,no,0,fur,NA,NA,yes,no,no,no,,,5th finger: 56.7,,,
2012-05-10,spring,Reichenau-Waldsiedlung,school-front-right,roof,NA,40,21:15,000708ABDF,1,Nyctalus,noctula,no,NA,NA,NA,no,NA,NA,25.8,m,a,55.1,NA,NA,NA,s,NA,NA,no,NA,yes,medium,no,no,no,0,fur,NA,NA,yes,no,no,no,,,5th finger: ,57.1,,
2012-05-10,spring,Reichenau-Waldsiedlung,school-front-right,roof,NA,40,21:15,000708ACD1,K14,Nyctalus,noctula,no,NA,NA,NA,no,NA,NA,28.2,m,a,52.5,NA,NA,NA,s,NA,NA,no,NA,yes,few,bug,bug,no,0,fur,NA,NA,yes,no,no,no,,,5th finger: 55.3,,,
2012-05-10,spring,Reichenau-Waldsiedlung,school-front-right,roof,NA,40,21:15,000708B3E9,VoWa,Nyctalus,noctula,no,NA,NA,NA,no,NA,NA,26.1,m,a,54.6,NA,NA,NA,s,NA,NA,no,NA,yes,few,NA,no,no,0,fur,NA,NA,yes,no,no,no,,,"5th, finger:54.6; nodes at finger joints",,,
2012-05-10,spring,Reichenau-Waldsiedlung,school-front-right,roof,NA,40,21:15,000708B3FB,K33,Nyctalus,noctula,no,NA,NA,NA,no,NA,NA,26.8,f,a,54.9,NA,NA,l,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,0,fur,NA,NA,yes,no,no,no,,,5th finger: ,55.7,blunt eckzähne,
2012-05-10,spring,Reichenau-Waldsiedlung,school-front-right,roof,NA,40,21:15,000708B46C,K9,Nyctalus,noctula,no,NA,NA,NA,no,NA,NA,31,f,a,54.8,NA,NA,s,NA,NA,NA,no,NA,yes,medium,no,no,no,0,fur,NA,NA,yes,no,no,no,,,5th finger: ,54.9,,
2012-05-10,spring,Reichenau-Waldsiedlung,school-front-right,roof,NA,40,21:15,000708B64B,K21,Nyctalus,noctula,no,NA,NA,NA,no,NA,NA,24.2,f,a,54.1,NA,NA,l,NA,NA,NA,no,NA,yes,many,no,no,no,0,fur,NA,NA,yes,no,no,no,,,5th finger:55.7,,,
