"","event.id","visible","timestamp","location.long","location.lat","gps.hdop","gps.maximum.signal.strength","gps.satellite.count","ground.speed","height.above.ellipsoid","height.above.msl","sensor.type","individual.taxon.canonical.name","tag.local.identifier","individual.local.identifier","study.name"
"62",5995292541,"true","2018-04-19 19:56:03.000",-6.46749,36.98072,1,448,6,7.194444502,NA,14,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"63",5995292542,"true","2018-04-19 19:56:33.000",-6.46535,36.98075,1,413,6,5.13888893,NA,20,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"64",5995292543,"true","2018-04-19 19:57:03.000",-6.4637,36.98074,1,407,6,4.111111144,NA,26,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"65",5995292544,"true","2018-04-19 19:57:33.000",-6.46231,36.98001,0.4,470,6,5.13888893,NA,32,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"66",5995292545,"true","2018-04-19 19:58:03.000",-6.46081,36.98027,0.4,411,6,2.055555572,NA,44,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"67",5995292546,"true","2018-04-19 19:58:33.000",-6.45976,36.98102,0.4,429,6,4.111111144,NA,32,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"68",5995292547,"true","2018-04-19 19:59:03.000",-6.45847,36.98211,0.4,409,6,5.13888893,NA,38,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"69",5995292548,"true","2018-04-19 19:59:32.000",-6.45683,36.98352,2.1,410,3,7.194444502,NA,-8,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"70",5995292549,"true","2018-04-19 20:00:03.000",-6.45573,36.98448,1,396,5,5.13888893,NA,18,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"71",5995292550,"true","2018-04-19 20:00:32.000",-6.45386,36.98452,2,378,3,4.111111144,NA,32,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"72",5995292551,"true","2018-04-19 20:01:03.000",-6.45202,36.98534,1,372,5,6.166666716,NA,22,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"73",5995292552,"true","2018-04-19 20:01:33.000",-6.45045,36.98603,0.4,412,6,4.111111144,NA,36,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"74",5995292553,"true","2018-04-19 20:02:02.000",-6.44929,36.98636,1.3,428,4,6.166666716,NA,60,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"75",5995292554,"true","2018-04-19 20:02:33.000",-6.44858,36.98619,0.4,466,6,3.083333358,NA,56,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"76",5995292555,"true","2018-04-19 20:03:02.000",-6.44831,36.98586,1,388,5,1.027777786,NA,52,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"77",5995292556,"true","2018-04-19 20:03:33.000",-6.44734,36.98545,0.4,382,6,4.111111144,NA,44,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"78",5995292557,"true","2018-04-19 20:04:02.000",-6.44645,36.98611,1,338,5,6.166666716,NA,20,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"79",5995292558,"true","2018-04-19 20:04:33.000",-6.44542,36.98576,0.4,385,6,4.111111144,NA,28,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"80",5995292559,"true","2018-04-19 20:05:03.000",-6.44391,36.98682,0.4,330,6,5.13888893,NA,46,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"81",5995292560,"true","2018-04-19 20:05:32.000",-6.44278,36.98864,1.3,421,4,10.27777786,NA,46,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"82",5995292561,"true","2018-04-19 20:06:03.000",-6.44353,36.99045,0.4,371,6,8.222222288,NA,-6,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"83",5995292562,"true","2018-04-19 20:06:32.000",-6.44319,36.99064,1.4,364,3,6.166666716,NA,0,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"84",5995292563,"true","2018-04-19 20:07:04.000",-6.44338,36.99069,2.4,307,3,3.083333358,NA,2,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"85",5995292564,"true","2018-04-19 20:07:33.000",-6.4434,36.9905,1,326,5,0,NA,4,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"86",5995292565,"true","2018-04-19 20:08:02.000",-6.44342,36.99052,1.2,378,4,1.027777786,NA,10,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"87",5995292566,"true","2018-04-19 20:08:33.000",-6.44347,36.99057,1.2,262,4,4.111111144,NA,8,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"88",5995292567,"true","2018-04-19 20:09:03.000",-6.44343,36.99066,1.2,283,4,0,NA,-26,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"89",5995292568,"true","2018-04-19 20:09:33.000",-6.44348,36.99037,1.4,159,3,0,NA,44,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"90",5995292569,"true","2018-04-19 20:10:04.000",-6.44328,36.9907,1.2,252,4,0,NA,-46,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"91",5995292570,"true","2018-04-19 20:10:33.000",-6.44349,36.99059,1.2,251,4,1.027777786,NA,0,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"92",5995292571,"true","2018-04-19 20:11:06.000",-6.4434,36.99066,3,302,3,1.027777786,NA,-12,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"93",5995292572,"true","2018-04-19 20:11:36.000",-6.44339,36.99057,1,255,5,0,NA,-8,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"94",5995292573,"true","2018-04-19 20:12:03.000",-6.44336,36.99069,2,197,3,0,NA,-58,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"95",5995292574,"true","2018-04-19 20:12:36.000",-6.44361,36.99045,1.1,222,5,0,NA,-12,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"96",5995292575,"true","2018-04-19 20:13:03.000",-6.44336,36.99056,1.4,280,3,0,NA,-10,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"97",5995292576,"true","2018-04-19 20:13:34.000",-6.44333,36.99062,1.4,201,3,0,NA,-10,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"98",5995292577,"true","2018-04-19 20:14:04.000",-6.44369,36.99041,1.4,364,3,0,NA,28,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"99",5995292578,"true","2018-04-19 20:14:34.000",-6.44364,36.99032,1.4,243,3,0,NA,44,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"100",5995292579,"true","2018-04-19 20:15:04.000",-6.44334,36.99062,1.4,233,3,0,NA,-60,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"101",5995292580,"true","2018-04-19 20:15:32.000",-6.44302,36.99042,1.4,242,3,1.027777786,NA,-10,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"102",5995292581,"true","2018-04-19 20:16:05.000",-6.4439,36.9902,1.4,265,3,0,NA,40,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"103",5995292582,"true","2018-04-19 20:16:33.000",-6.44349,36.99049,1.2,245,4,0,NA,8,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"104",5995292583,"true","2018-04-19 20:17:04.000",-6.44324,36.99068,1.3,255,3,0,NA,-6,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"105",5995292584,"true","2018-04-19 20:17:33.000",-6.44334,36.9908,2,266,3,0,NA,-60,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"106",5995292585,"true","2018-04-19 20:18:04.000",-6.44352,36.99054,1.3,221,3,0,NA,18,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"107",5995292586,"true","2018-04-19 20:18:35.000",-6.44323,36.99084,1.2,265,4,0,NA,-42,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"108",5995292587,"true","2018-04-19 20:19:06.000",-6.44316,36.9909,2,259,3,0,NA,-76,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"109",5995292588,"true","2018-04-19 20:19:37.000",-6.44326,36.9908,1.2,159,4,1.027777786,NA,-26,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"110",5995292589,"true","2018-04-19 20:20:08.000",-6.44329,36.99051,3.2,152,3,0,NA,-44,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"111",5995292590,"true","2018-04-19 20:20:36.000",-6.44362,36.99051,4.1,169,3,1.027777786,NA,4,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"112",5995292591,"true","2018-04-19 20:21:05.000",-6.44369,36.99036,4.1,166,3,0,NA,-22,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"113",5995292592,"true","2018-04-19 20:21:37.000",-6.4435,36.99056,1.3,170,3,0,NA,0,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"114",5995292593,"true","2018-04-19 20:22:04.000",-6.44331,36.99084,1.4,131,3,0,NA,-58,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"115",5995292594,"true","2018-04-19 20:22:37.000",-6.44323,36.99055,2.4,90,3,1.027777786,NA,-74,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"116",5995292595,"true","2018-04-19 20:23:08.000",-6.44332,36.99078,1.3,125,3,1.027777786,NA,-12,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"117",5995292596,"true","2018-04-19 20:23:36.000",-6.4439,36.99021,4.4,148,3,2.055555572,NA,-40,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"118",5995292597,"true","2018-04-19 20:24:03.000",-6.4434,36.99046,1.3,146,3,0,NA,28,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"119",5995292598,"true","2018-04-19 20:24:52.000",-6.44343,36.99063,1.3,175,3,0,NA,-12,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"120",5995292599,"true","2018-04-19 20:25:07.000",-6.44337,36.99069,1.3,157,3,0,NA,-16,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
