"","X","event.id","timestamp","location.long","location.lat","gps.hdop","gps.maximum.signal.strength","gps.satellite.count","ground.speed","height.above.msl","tlag","batID","BatDay","utm.x","utm.y","batIDday"
"A563.1605",1605,5995294165,2018-04-20 20:46:32,-6.42979,37.03063,1.4,399,5,7.194444502,20,30,"A563",2,194902.76753152,4103773.54618483,"A563.2"
"A563.1606",1606,5995294166,2018-04-20 20:47:02,-6.43185,37.02914,1.4,424,6,10.27777786,24,30,"A563",2,194713.486944357,4103614.79112258,"A563.2"
"A563.1607",1607,5995294167,2018-04-20 20:47:32,-6.43326,37.02796,2.1,427,5,7.194444502,20,30,"A563",2,194583.284555971,4103488.35648892,"A563.2"
"A563.1608",1608,5995294168,2018-04-20 20:48:02,-6.43506,37.02648,2.1,440,5,7.194444502,34,30,"A563",2,194417.1690333,4103329.8813766,"A563.2"
"A563.1609",1609,5995294169,2018-04-20 20:48:32,-6.43613,37.02539,2.1,410,5,6.166666716,50,30,"A563",2,194317.576055644,4103212.34575274,"A563.2"
"A563.1610",1610,5995294170,2018-04-20 20:49:02,-6.43691,37.02385,2,436,5,5.13888893,12,32,"A563",2,194241.981914043,4103043.93275029,"A563.2"
"A563.1611",1611,5995294171,2018-04-20 20:49:34,-6.43739,37.02329,2,436,6,7.194444502,6,29,"A563",2,194197.017448584,4102983.32381408,"A563.2"
"A563.1612",1612,5995294172,2018-04-20 20:50:03,-6.43726,37.02278,2.2,330,5,8.222222288,22,30,"A563",2,194206.539372768,4102926.30100713,"A563.2"
"A563.1613",1613,5995294173,2018-04-20 20:50:33,-6.43738,37.02138,2,356,4,5.13888893,26,29,"A563",2,194190.24027484,4102771.30268911,"A563.2"
"A563.1614",1614,5995294174,2018-04-20 20:51:02,-6.43754,37.02113,2.1,229,5,2.055555572,24,32,"A563",2,194174.997425198,4102744.07044748,"A563.2"
"A563.1615",1615,5995294175,2018-04-20 20:51:34,-6.43611,37.02011,1.4,431,6,3.083333358,58,29,"A563",2,194298.168591416,4102626.25981421,"A563.2"
"A563.1616",1616,5995294176,2018-04-20 20:52:03,-6.43582,37.01985,1.4,414,6,3.083333358,12,30,"A563",2,194322.934549379,4102596.4696842,"A563.2"
"A563.1617",1617,5995294177,2018-04-20 20:52:33,-6.43469,37.01938,1.4,372,6,3.083333358,38,30,"A563",2,194421.616356787,4102540.67013526,"A563.2"
"A563.1618",1618,5995294178,2018-04-20 20:53:03,-6.43427,37.01869,1.4,410,6,3.083333358,16,30,"A563",2,194456.228353414,4102462.73716952,"A563.2"
"A563.1619",1619,5995294179,2018-04-20 20:53:33,-6.43431,37.01802,1.4,369,6,3.083333358,24,29,"A563",2,194449.981561004,4102388.50328326,"A563.2"
"A563.1620",1620,5995294180,2018-04-20 20:54:02,-6.43285,37.01806,2.1,228,4,3.083333358,48,31,"A563",2,194580.080932698,4102388.2489432,"A563.2"
"A563.1621",1621,5995294181,2018-04-20 20:54:33,-6.43204,37.01796,1.4,366,6,4.111111144,18,31,"A563",2,194651.769581102,4102374.54678594,"A563.2"
"A563.1622",1622,5995294182,2018-04-20 20:55:04,-6.431,37.01707,1.4,446,6,4.111111144,2,28,"A563",2,194740.763332398,4102272.42525532,"A563.2"
"A563.1623",1623,5995294183,2018-04-20 20:55:32,-6.4305,37.01673,2.3,257,4,2.055555572,12,31,"A563",2,194783.901609106,4102233.08294963,"A563.2"
"A563.1624",1624,5995294184,2018-04-20 20:56:03,-6.42911,37.01614,2,300,5,3.083333358,4,30,"A563",2,194905.250322211,4102163.13580011,"A563.2"
"A563.1625",1625,5995294185,2018-04-20 20:56:33,-6.4277,37.01598,2,251,5,4.111111144,50,29,"A563",2,195030.10194345,4102140.85142528,"A563.2"
"A563.1626",1626,5995294186,2018-04-20 20:57:02,-6.42603,37.01582,2,194,4,5.13888893,10,31,"A563",2,195178.094492867,4102117.73486546,"A563.2"
"A563.1627",1627,5995294187,2018-04-20 20:57:33,-6.425,37.01518,2,263,5,2.055555572,14,29,"A563",2,195267.206859862,4102043.39866309,"A563.2"
"A563.1628",1628,5995294188,2018-04-20 20:58:02,-6.42329,37.01524,2.4,228,4,7.194444502,42,32,"A563",2,195419.640822855,4102044.57564314,"A563.2"
"A563.1629",1629,5995294189,2018-04-20 20:58:34,-6.42213,37.01447,1.4,427,6,5.13888893,10,30,"A563",2,195519.806875277,4101955.39713676,"A563.2"
"A563.1630",1630,5995294190,2018-04-20 20:59:04,-6.42053,37.01398,1.4,433,6,4.111111144,52,28,"A563",2,195660.255055782,4101895.88745855,"A563.2"
"A563.1631",1631,5995294191,2018-04-20 20:59:32,-6.41974,37.014,1.4,261,5,4.111111144,46,33,"A563",2,195730.647853535,4101895.57746064,"A563.2"
"A563.1632",1632,5995294192,2018-04-20 21:00:05,-6.41933,37.01422,1.4,412,6,8.222222288,-118,27,"A563",2,195768.017666014,4101918.68220091,"A563.2"
"A563.1633",1633,5995294193,2018-04-20 21:00:32,-6.41857,37.01367,1.4,412,6,3.083333358,12,30,"A563",2,195833.46500564,4101855.20579619,"A563.2"
"A563.1634",1634,5995294194,2018-04-20 21:01:02,-6.41748,37.01408,1.4,415,5,4.111111144,58,30,"A563",2,195932.115339223,4101897.22270933,"A563.2"
"A563.1635",1635,5995294195,2018-04-20 21:01:32,-6.41642,37.01473,1.4,270,5,4.111111144,36,30,"A563",2,196029.051859529,4101965.97384444,"A563.2"
"A563.1636",1636,5995294196,2018-04-20 21:02:02,-6.4159,37.01443,1.4,358,6,1.027777786,-6,30,"A563",2,196074.136795774,4101931.0141553,"A563.2"
"A563.1637",1637,5995294197,2018-04-20 21:02:32,-6.41513,37.01452,1.4,291,6,2.055555572,-18,31,"A563",2,196143.028032211,4101938.54070174,"A563.2"
"A563.1638",1638,5995294198,2018-04-20 21:03:03,-6.41491,37.0154,1.4,397,6,3.083333358,-60,30,"A563",2,196166.117400843,4102035.50684841,"A563.2"
"A563.1639",1639,5995294199,2018-04-20 21:03:33,-6.41399,37.01544,2.2,374,4,1.027777786,38,30,"A563",2,196248.158609176,4102037.0051915,"A563.2"
"A563.1640",1640,5995294200,2018-04-20 21:04:03,-6.41348,37.0156,1.4,432,6,5.13888893,14,29,"A563",2,196294.187241865,4102053.13319534,"A563.2"
"A563.1641",1641,5995294201,2018-04-20 21:04:32,-6.41245,37.01578,1.4,296,6,3.083333358,-6,31,"A563",2,196386.576120297,4102069.81963708,"A563.2"
"A563.1642",1642,5995294202,2018-04-20 21:05:03,-6.41188,37.01481,1.4,303,6,1.027777786,16,30,"A563",2,196433.442775154,4101960.34016989,"A563.2"
"A563.1643",1643,5995294203,2018-04-20 21:05:33,-6.41117,37.01478,1.4,422,6,5.13888893,12,30,"A563",2,196496.515089574,4101954.74266732,"A563.2"
"A563.1644",1644,5995294204,2018-04-20 21:06:03,-6.41111,37.01495,1.4,330,5,1.027777786,4,30,"A563",2,196502.532305085,4101973.41900595,"A563.2"
"A563.1645",1645,5995294205,2018-04-20 21:06:33,-6.41054,37.01448,1.4,401,6,3.083333358,44,30,"A563",2,196551.39208767,4101919.43433059,"A563.2"
